abn_key,Charity_Legal_Name,State,Town_City,Charity_Website,charity size,staff - volunteers,total full time equivalent staff,total revenue,net assets/liabilities,beneficiary_count,states_operating,years_operating,pillar_legitimacy,pillar_impact,pillar_capacity,pillar_cause,fit_score,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,LGBTIQA+,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,rank,is_top_10
93150819526,The Trustee For Rona Ellis Foundation,QLD,Albion,www.ronaellisfoundation.com.au,Small,4,0.0,209622,4602140,0,0,13.0,77.8,0.37358238825883555,100.0,0.0,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,15814,0
84023581651,Dance Exchange Inc,NSW,North Gosford,www.russelldumasdance.com,Small,9,0.0,200,63,1,0,34.0,73.61046591293842,1.7929413259633324,100.0,2.73972602739726,39.6,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,15815,0
52246644718,Shoalhaven Heads Public School P&C Assn,,,,Small,15,0.0,93342,26112,4,1,,65.49397320790573,9.210457765494443,80.0,17.80821917808219,39.6,Y,,,Y,,,,,Y,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,15816,0
67964567863,SMART Animal Sanctuary & Rehoming Centre Incorporated,NSW,Batlow,smartrescue.org.au,Small,2,1.78,204510,226765,3,0,17.0,69.82803857435584,3.184383489474522,94.02111324376199,9.58904109589041,39.6,,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,15817,0
64948966780,Oatlands District Historical Association,TAS,Oatlands,,Small,10,0.0,10593,27217,1,1,24.0,84.4,5.886336923028042,80.0,2.73972602739726,39.6,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,15818,0
71635314874,Allambie Heights Public School  P&C Association,,,https://allambieht-p.schools.nsw.gov.au/p-c.html,Medium,10,2.2,345516,157291,1,0,61.0,91.78856417423513,2.4545187412098595,74.61036468330134,4.10958904109589,39.6,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,15819,0
50064771877,The Mack Jost Trust,VIC,Horsham,,Small,10,0.0,1742,53638,1,1,24.0,84.4,5.886336923028042,80.0,2.73972602739726,39.6,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,15820,0
61009920914,The Black Community Housing Service (Qld.) Ltd.,,,http://www.blackcommunityhousingservice.org/,Medium,0,3.58,557578,18384360,1,1,46.0,88.36660254844246,4.9523809523809526,69.97504798464492,8.21917808219178,39.6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15821,0
12597955973,Priority Television Network Inc,WA,Osborne Park,,Small,0,0.0,760,4235,1,1,26.0,85.6,4.9523809523809526,80.0,2.73972602739726,39.6,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,15822,0
44630254483,SHEPHERD'S KEEP AUSTRALIA LTD,QLD,Sinnamon Park,https://www.shepherdskeepaust.org.au,Small,7,0.0,16015,1085,2,0,,70.0,2.558531084214867,100.0,5.47945205479452,39.6,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,15823,0
64167249819,The Trustee For The Carter C E Memorial Fund,VIC,Melbourne,,Small,0,0.0,87896,1705663,0,2,25.0,85.0,8.0,80.0,0.0,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,15824,0
